Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Year,Total Population
,,,,,,,,,,,,,,,,,2015 Population,167978
,,,,,,,,,,,,,,,,,2020 Population,169231
,,,,,,,,,,,,,,,,,2022 Population,171774
,,,,,,,,,,,,,,,,,1970 Population1,5453208
,,,,,,,,,,,,,,,,,1980 Population,6987767
,,,,,,,,,,,,,,,,,1990 Population,9084780
,,,,,,,,,,,,,,,,,2000 Population,11735894
,,,,,,,,,,,,,,,,,2010 Population,14543121
,,,,,,,,,,,,,,,,,2015 Population,16001107
,,,,,,,,,,,,,,,,,2020 Population,17362718
,,,,,,,,,,,,,,,,,2022 Population,17843908
,,,,,,,,,,,,,,,,,1970 Population1,52656
,,,,,,,,,,,,,,,,,1980 Population,52860
,,,,,,,,,,,,,,,,,1990 Population,57727
,,,,,,,,,,,,,,,,,2000 Population,59114
,,,,,,,,,,,,,,,,,2010 Population,60782
,,,,,,,,,,,,,,,,,2015 Population,61629
,,,,,,,,,,,,,,,,,2020 Population,62794
,,,,,,,,,,,,,,,,,2022 Population,63301
,,,,,,,,,,,,,,,,,1970 Population1,4222374
,,,,,,,,,,,,,,,,,1980 Population,4972609
,,,,,,,,,,,,,,,,,1990 Population,6354145
,,,,,,,,,,,,,,,,,2000 Population,8336967
,,,,,,,,,,,,,,,,,2010 Population,10270728
,,,,,,,,,,,,,,,,,2015 Population,11625998
,,,,,,,,,,,,,,,,,2020 Population,13205153
,,,,,,,,,,,,,,,,,2022 Population,13859341
,,,,,,,,,,,,,,,,,1970 Population1,591663
,,,,,,,,,,,,,,,,,1980 Population,831462
,,,,,,,,,,,,,,,,,1990 Population,973551
,,,,,,,,,,,,,,,,,2000 Population,1230849
,,,,,,,,,,,,,,,,,2010 Population,1567220
,,,,,,,,,,,,,,,,,2015 Population,1788919
,,,,,,,,,,,,,,,,,2020 Population,2015828
,,,,,,,,,,,,,,,,,2022 Population,2105566
,,,,,,,,,,,,,,,,,1970 Population1,705261
,,,,,,,,,,,,,,,,,1980 Population,778176
,,,,,,,,,,,,,,,,,1990 Population,747116
,,,,,,,,,,,,,,,,,2000 Population,759051
,,,,,,,,,,,,,,,,,2010 Population,747932
,,,,,,,,,,,,,,,,,2015 Population,755031
,,,,,,,,,,,,,,,,,2020 Population,797202
,,,,,,,,,,,,,,,,,2022 Population,808726
,,,,,,,,,,,,,,,,,1970 Population1,4680812
,,,,,,,,,,,,,,,,,1980 Population,5646676
,,,,,,,,,,,,,,,,,1990 Population,6925331
,,,,,,,,,,,,,,,,,2000 Population,8360225
,,,,,,,,,,,,,,,,,2010 Population,9842880
,,,,,,,,,,,,,,,,,2015 Population,10563757
,,,,,,,,,,,,,,,,,2020 Population,11306801
,,,,,,,,,,,,,,,,,2022 Population,11584996
,,,,,,,,,,,,,,,,,1970 Population1,2782753
,,,,,,,,,,,,,,,,,1980 Population,3777990
,,,,,,,,,,,,,,,,,1990 Population,5053234
,,,,,,,,,,,,,,,,,2000 Population,6656725
,,,,,,,,,,,,,,,,,2010 Population,8450933
,,,,,,,,,,,,,,,,,2015 Population,9294505
,,,,,,,,,,,,,,,,,2020 Population,10121763
,,,,,,,,,,,,,,,,,2022 Population,10432860
,,,,,,,,,,,,,,,,,1970 Population1,3955072
,,,,,,,,,,,,,,,,,1980 Population,4978544
,,,,,,,,,,,,,,,,,1990 Population,5838574
,,,,,,,,,,,,,,,,,2000 Population,6731195
,,,,,,,,,,,,,,,,,2010 Population,7132438
,,,,,,,,,,,,,,,,,2015 Population,7399838
,,,,,,,,,,,,,,,,,2020 Population,7500958
,,,,,,,,,,,,,,,,,2022 Population,7488865
,,,,,,,,,,,,,,,,,1970 Population1,10315366
,,,,,,,,,,,,,,,,,1980 Population,10698679
,,,,,,,,,,,,,,,,,1990 Population,10375989
,,,,,,,,,,,,,,,,,2000 Population,10202055
,,,,,,,,,,,,,,,,,2010 Population,9986825
,,,,,,,,,,,,,,,,,2015 Population,9844246
,,,,,,,,,,,,,,,,,2020 Population,9750573
,,,,,,,,,,,,,,,,,2022 Population,9967308
,,,,,,,,,,,,,,,,,1970 Population1,204468
,,,,,,,,,,,,,,,,,1980 Population,228263
,,,,,,,,,,,,,,,,,1990 Population,255019
,,,,,,,,,,,,,,,,,2000 Population,281462
,,,,,,,,,,,,,,,,,2010 Population,318333
,,,,,,,,,,,,,,,,,2015 Population,331060
,,,,,,,,,,,,,,,,,2020 Population,366669
,,,,,,,,,,,,,,,,,2022 Population,372899
,,,,,,,,,,,,,,,,,1970 Population1,557501301
,,,,,,,,,,,,,,,,,1980 Population,696828385
,,,,,,,,,,,,,,,,,1990 Population,870452165
,,,,,,,,,,,,,,,,,2000 Population,1059633675
,,,,,,,,,,,,,,,,,2010 Population,1240613620
,,,,,,,,,,,,,,,,,2015 Population,1322866505
,,,,,,,,,,,,,,,,,2020 Population,1396387127
,,,,,,,,,,,,,,,,,2022 Population,1417173173
,,,,,,,,,,,,,,,,,1970 Population1,115228394
,,,,,,,,,,,,,,,,,1980 Population,148177096
,,,,,,,,,,,,,,,,,1990 Population,182159874
,,,,,,,,,,,,,,,,,2000 Population,214072421
,,,,,,,,,,,,,,,,,2010 Population,244016173
,,,,,,,,,,,,,,,,,2015 Population,259091970
,,,,,,,,,,,,,,,,,2020 Population,271857970
,,,,,,,,,,,,,,,,,2022 Population,275501339
,,,,,,,,,,,,,,,,,1970 Population1,28449705
,,,,,,,,,,,,,,,,,1980 Population,38520664
,,,,,,,,,,,,,,,,,1990 Population,55793629
,,,,,,,,,,,,,,,,,2000 Population,65544383
,,,,,,,,,,,,,,,,,2010 Population,75373855
,,,,,,,,,,,,,,,,,2015 Population,81790841
,,,,,,,,,,,,,,,,,2020 Population,87290193
,,,,,,,,,,,,,,,,,2022 Population,88550570
,,,,,,,,,,,,,,,,,1970 Population1,9811347
,,,,,,,,,,,,,,,,,1980 Population,13653369
,,,,,,,,,,,,,,,,,1990 Population,17658381
,,,,,,,,,,,,,,,,,2000 Population,24628858
,,,,,,,,,,,,,,,,,2010 Population,31264875
,,,,,,,,,,,,,,,,,2015 Population,37757813
,,,,,,,,,,,,,,,,,2020 Population,42556984
,,,,,,,,,,,,,,,,,2022 Population,44496122
,,,,,,,,,,,,,,,,,1970 Population1,2937637
,,,,,,,,,,,,,,,,,1980 Population,3391387
,,,,,,,,,,,,,,,,,1990 Population,3485374
,,,,,,,,,,,,,,,,,2000 Population,3768950
,,,,,,,,,,,,,,,,,2010 Population,4524585
,,,,,,,,,,,,,,,,,2015 Population,4665760
,,,,,,,,,,,,,,,,,2020 Population,4946119
,,,,,,,,,,,,,,,,,2022 Population,5023109
,,,,,,,,,,,,,,,,,1970 Population1,55298
,,,,,,,,,,,,,,,,,1980 Population,64022
,,,,,,,,,,,,,,,,,1990 Population,68865
,,,,,,,,,,,,,,,,,2000 Population,75562
,,,,,,,,,,,,,,,,,2010 Population,83828
,,,,,,,,,,,,,,,,,2015 Population,83593
,,,,,,,,,,,,,,,,,2020 Population,84046
,,,,,,,,,,,,,,,,,2022 Population,84519
,,,,,,,,,,,,,,,,,1970 Population1,2907307
,,,,,,,,,,,,,,,,,1980 Population,3744608
,,,,,,,,,,,,,,,,,1990 Population,4803254
,,,,,,,,,,,,,,,,,2000 Population,6116958
,,,,,,,,,,,,,,,,,2010 Population,7328445
,,,,,,,,,,,,,,,,,2015 Population,8007778
,,,,,,,,,,,,,,,,,2020 Population,8757489
,,,,,,,,,,,,,,,,,2022 Population,9038309
,,,,,,,,,,,,,,,,,1970 Population1,53324036
,,,,,,,,,,,,,,,,,1980 Population,56329482
,,,,,,,,,,,,,,,,,1990 Population,56756561
,,,,,,,,,,,,,,,,,2000 Population,56966397
,,,,,,,,,,,,,,,,,2010 Population,59822450
,,,,,,,,,,,,,,,,,2015 Population,60232906
,,,,,,,,,,,,,,,,,2020 Population,59500579
,,,,,,,,,,,,,,,,,2022 Population,59037474
,,,,,,,,,,,,,,,,,1970 Population1,5477086
,,,,,,,,,,,,,,,,,1980 Population,8303809
,,,,,,,,,,,,,,,,,1990 Population,11910540
,,,,,,,,,,,,,,,,,2000 Population,16799670
,,,,,,,,,,,,,,,,,2010 Population,21120042
,,,,,,,,,,,,,,,,,2015 Population,23596741
,,,,,,,,,,,,,,,,,2020 Population,26811790
,,,,,,,,,,,,,,,,,2022 Population,28160542
,,,,,,,,,,,,,,,,,1970 Population1,1859091
,,,,,,,,,,,,,,,,,1980 Population,2135546
,,,,,,,,,,,,,,,,,1990 Population,2392030
,,,,,,,,,,,,,,,,,2000 Population,2612205
,,,,,,,,,,,,,,,,,2010 Population,2733896
,,,,,,,,,,,,,,,,,2015 Population,2794445
,,,,,,,,,,,,,,,,,2020 Population,2820436
,,,,,,,,,,,,,,,,,2022 Population,2827377
,,,,,,,,,,,,,,,,,1970 Population1,105416839
,,,,,,,,,,,,,,,,,1980 Population,117624196
,,,,,,,,,,,,,,,,,1990 Population,123686321
,,,,,,,,,,,,,,,,,2000 Population,126803861
,,,,,,,,,,,,,,,,,2010 Population,128105431
,,,,,,,,,,,,,,,,,2015 Population,127250933
,,,,,,,,,,,,,,,,,2020 Population,125244761
,,,,,,,,,,,,,,,,,2022 Population,123951692
,,,,,,,,,,,,,,,,,1970 Population1,68347
,,,,,,,,,,,,,,,,,1980 Population,75124
,,,,,,,,,,,,,,,,,1990 Population,82874
,,,,,,,,,,,,,,,,,2000 Population,86192
,,,,,,,,,,,,,,,,,2010 Population,96151
,,,,,,,,,,,,,,,,,2015 Population,100561
,,,,,,,,,,,,,,,,,2020 Population,108319
,,,,,,,,,,,,,,,,,2022 Population,110778
,,,,,,,,,,,,,,,,,1970 Population1,1557374
,,,,,,,,,,,,,,,,,1980 Population,2216903
,,,,,,,,,,,,,,,,,1990 Population,3480587
,,,,,,,,,,,,,,,,,2000 Population,5056174
,,,,,,,,,,,,,,,,,2010 Population,6931258
,,,,,,,,,,,,,,,,,2015 Population,9494246
,,,,,,,,,,,,,,,,,2020 Population,10928721
,,,,,,,,,,,,,,,,,2022 Population,11285869
,,,,,,,,,,,,,,,,,1970 Population1,12265305
,,,,,,,,,,,,,,,,,1980 Population,14172710
,,,,,,,,,,,,,,,,,1990 Population,16866563
,,,,,,,,,,,,,,,,,2000 Population,15236253
,,,,,,,,,,,,,,,,,2010 Population,16627837
,,,,,,,,,,,,,,,,,2015 Population,17835909
,,,,,,,,,,,,,,,,,2020 Population,18979243
,,,,,,,,,,,,,,,,,2022 Population,19397998
,,,,,,,,,,,,,,,,,1970 Population1,11473087
,,,,,,,,,,,,,,,,,1980 Population,16187124
,,,,,,,,,,,,,,,,,1990 Population,23162269
,,,,,,,,,,,,,,,,,2000 Population,30851606
,,,,,,,,,,,,,,,,,2010 Population,41517895
,,,,,,,,,,,,,,,,,2015 Population,46851488
,,,,,,,,,,,,,,,,,2020 Population,51985780
,,,,,,,,,,,,,,,,,2022 Population,54027487
,,,,,,,,,,,,,,,,,1970 Population1,57437
,,,,,,,,,,,,,,,,,1980 Population,60813
,,,,,,,,,,,,,,,,,1990 Population,75124
,,,,,,,,,,,,,,,,,2000 Population,88826
,,,,,,,,,,,,,,,,,2010 Population,107995
,,,,,,,,,,,,,,,,,2015 Population,116707
,,,,,,,,,,,,,,,,,2020 Population,126463
,,,,,,,,,,,,,,,,,2022 Population,131232
,,,,,,,,,,,,,,,,,1970 Population1,802786
,,,,,,,,,,,,,,,,,1980 Population,1493870
,,,,,,,,,,,,,,,,,1990 Population,1674938
,,,,,,,,,,,,,,,,,2000 Population,1934901
,,,,,,,,,,,,,,,,,2010 Population,2943356
,,,,,,,,,,,,,,,,,2015 Population,3908743
,,,,,,,,,,,,,,,,,2020 Population,4360444
,,,,,,,,,,,,,,,,,2022 Population,4268873
,,,,,,,,,,,,,,,,,1970 Population1,3016384
,,,,,,,,,,,,,,,,,1980 Population,3691209
,,,,,,,,,,,,,,,,,1990 Population,4394734
,,,,,,,,,,,,,,,,,2000 Population,4935182
,,,,,,,,,,,,,,,,,2010 Population,5483774
,,,,,,,,,,,,,,,,,2015 Population,5914980
,,,,,,,,,,,,,,,,,2020 Population,6424874
,,,,,,,,,,,,,,,,,2022 Population,6630623
,,,,,,,,,,,,,,,,,1970 Population1,2675283
,,,,,,,,,,,,,,,,,1980 Population,3297519
,,,,,,,,,,,,,,,,,1990 Population,4314443
,,,,,,,,,,,,,,,,,2000 Population,5430853
,,,,,,,,,,,,,,,,,2010 Population,6323418
,,,,,,,,,,,,,,,,,2015 Population,6787419
,,,,,,,,,,,,,,,,,2020 Population,7319399
,,,,,,,,,,,,,,,,,2022 Population,7529475
,,,,,,,,,,,,,,,,,1970 Population1,2397414
,,,,,,,,,,,,,,,,,1980 Population,2572037
,,,,,,,,,,,,,,,,,1990 Population,2689391
,,,,,,,,,,,,,,,,,2000 Population,2392530
,,,,,,,,,,,,,,,,,2010 Population,2101530
,,,,,,,,,,,,,,,,,2015 Population,1991955
,,,,,,,,,,,,,,,,,2020 Population,1897052
,,,,,,,,,,,,,,,,,2022 Population,1850651
,,,,,,,,,,,,,,,,,1970 Population1,2381791
,,,,,,,,,,,,,,,,,1980 Population,2963702
,,,,,,,,,,,,,,,,,1990 Population,3593700
,,,,,,,,,,,,,,,,,2000 Population,4320642
,,,,,,,,,,,,,,,,,2010 Population,4995800
,,,,,,,,,,,,,,,,,2015 Population,6398940
,,,,,,,,,,,,,,,,,2020 Population,5662923
,,,,,,,,,,,,,,,,,2022 Population,5489739
,,,,,,,,,,,,,,,,,1970 Population1,1023481
,,,,,,,,,,,,,,,,,1980 Population,1407672
,,,,,,,,,,,,,,,,,1990 Population,1798997
,,,,,,,,,,,,,,,,,2000 Population,1998630
,,,,,,,,,,,,,,,,,2010 Population,2022747
,,,,,,,,,,,,,,,,,2015 Population,2118521
,,,,,,,,,,,,,,,,,2020 Population,2254100
,,,,,,,,,,,,,,,,,2022 Population,2305825
,,,,,,,,,,,,,,,,,1970 Population1,1463563
,,,,,,,,,,,,,,,,,1980 Population,1932169
,,,,,,,,,,,,,,,,,1990 Population,2209731
,,,,,,,,,,,,,,,,,2000 Population,2895224
,,,,,,,,,,,,,,,,,2010 Population,4019956
,,,,,,,,,,,,,,,,,2015 Population,4612329
,,,,,,,,,,,,,,,,,2020 Population,5087584
,,,,,,,,,,,,,,,,,2022 Population,5302681
,,,,,,,,,,,,,,,,,1970 Population1,1909177
,,,,,,,,,,,,,,,,,1980 Population,2962720
,,,,,,,,,,,,,,,,,1990 Population,4236983
,,,,,,,,,,,,,,,,,2000 Population,5154790
,,,,,,,,,,,,,,,,,2010 Population,6491988
,,,,,,,,,,,,,,,,,2015 Population,6192235
,,,,,,,,,,,,,,,,,2020 Population,6653942
,,,,,,,,,,,,,,,,,2022 Population,6812341
,,,,,,,,,,,,,,,,,1970 Population1,21089
,,,,,,,,,,,,,,,,,1980 Population,25003
,,,,,,,,,,,,,,,,,1990 Population,28765
,,,,,,,,,,,,,,,,,2000 Population,33026
,,,,,,,,,,,,,,,,,2010 Population,35926
,,,,,,,,,,,,,,,,,2015 Population,37355
,,,,,,,,,,,,,,,,,2020 Population,38756
,,,,,,,,,,,,,,,,,2022 Population,39327
,,,,,,,,,,,,,,,,,1970 Population1,3210147
,,,,,,,,,,,,,,,,,1980 Population,3521206
,,,,,,,,,,,,,,,,,1990 Population,3785847
,,,,,,,,,,,,,,,,,2000 Population,3599637
,,,,,,,,,,,,,,,,,2010 Population,3139019
,,,,,,,,,,,,,,,,,2015 Population,2963765
,,,,,,,,,,,,,,,,,2020 Population,2820267
,,,,,,,,,,,,,,,,,2022 Population,2750055
,,,,,,,,,,,,,,,,,1970 Population1,339342
,,,,,,,,,,,,,,,,,1980 Population,363741
,,,,,,,,,,,,,,,,,1990 Population,381267
,,,,,,,,,,,,,,,,,2000 Population,435628
,,,,,,,,,,,,,,,,,2010 Population,507070
,,,,,,,,,,,,,,,,,2015 Population,569408
,,,,,,,,,,,,,,,,,2020 Population,630399
,,,,,,,,,,,,,,,,,2022 Population,647599
,,,,,,,,,,,,,,,,,1970 Population1,247284
,,,,,,,,,,,,,,,,,1980 Population,245332
,,,,,,,,,,,,,,,,,1990 Population,350227
,,,,,,,,,,,,,,,,,2000 Population,431896
,,,,,,,,,,,,,,,,,2010 Population,557297
,,,,,,,,,,,,,,,,,2015 Population,615239
,,,,,,,,,,,,,,,,,2020 Population,676283
,,,,,,,,,,,,,,,,,2022 Population,695168
,,,,,,,,,,,,,,,,,1970 Population1,6639751
,,,,,,,,,,,,,,,,,1980 Population,8948162
,,,,,,,,,,,,,,,,,1990 Population,11882762
,,,,,,,,,,,,,,,,,2000 Population,16216431
,,,,,,,,,,,,,,,,,2010 Population,21731053
,,,,,,,,,,,,,,,,,2015 Population,24850912
,,,,,,,,,,,,,,,,,2020 Population,28225177
,,,,,,,,,,,,,,,,,2022 Population,29611714
,,,,,,,,,,,,,,,,,1970 Population1,4625141
,,,,,,,,,,,,,,,,,1980 Population,6267369
,,,,,,,,,,,,,,,,,1990 Population,9539665
,,,,,,,,,,,,,,,,,2000 Population,11229387
,,,,,,,,,,,,,,,,,2010 Population,14718422
,,,,,,,,,,,,,,,,,2015 Population,16938942
,,,,,,,,,,,,,,,,,2020 Population,19377061
,,,,,,,,,,,,,,,,,2022 Population,20405317
,,,,,,,,,,,,,,,,,1970 Population1,10306508
,,,,,,,,,,,,,,,,,1980 Population,13215707
,,,,,,,,,,,,,,,,,1990 Population,17517054
,,,,,,,,,,,,,,,,,2000 Population,22945150
,,,,,,,,,,,,,,,,,2010 Population,28717731
,,,,,,,,,,,,,,,,,2015 Population,31068833
,,,,,,,,,,,,,,,,,2020 Population,33199993
,,,,,,,,,,,,,,,,,2022 Population,33938221
,,,,,,,,,,,,,,,,,1970 Population1,123243
,,,,,,,,,,,,,,,,,1980 Population,164887
,,,,,,,,,,,,,,,,,1990 Population,224957
,,,,,,,,,,,,,,,,,2000 Population,282507
,,,,,,,,,,,,,,,,,2010 Population,361575
,,,,,,,,,,,,,,,,,2015 Population,435582
,,,,,,,,,,,,,,,,,2020 Population,514438
,,,,,,,,,,,,,,,,,2022 Population,523787
,,,,,,,,,,,,,,,,,1970 Population1,6153587
,,,,,,,,,,,,,,,,,1980 Population,7372581
,,,,,,,,,,,,,,,,,1990 Population,8945026
,,,,,,,,,,,,,,,,,2000 Population,11239101
,,,,,,,,,,,,,,,,,2010 Population,15529181
,,,,,,,,,,,,,,,,,2015 Population,18112907
,,,,,,,,,,,,,,,,,2020 Population,21224040
,,,,,,,,,,,,,,,,,2022 Population,22593590
,,,,,,,,,,,,,,,,,1970 Population1,315414
,,,,,,,,,,,,,,,,,1980 Population,333587
,,,,,,,,,,,,,,,,,1990 Population,365392
,,,,,,,,,,,,,,,,,2000 Population,399212
,,,,,,,,,,,,,,,,,2010 Population,418755
,,,,,,,,,,,,,,,,,2015 Population,456579
,,,,,,,,,,,,,,,,,2020 Population,515357
,,,,,,,,,,,,,,,,,2022 Population,533286
,,,,,,,,,,,,,,,,,1970 Population1,23969
,,,,,,,,,,,,,,,,,1980 Population,31988
,,,,,,,,,,,,,,,,,1990 Population,46047
,,,,,,,,,,,,,,,,,2000 Population,54224
,,,,,,,,,,,,,,,,,2010 Population,53416
,,,,,,,,,,,,,,,,,2015 Population,49410
,,,,,,,,,,,,,,,,,2020 Population,43413
,,,,,,,,,,,,,,,,,2022 Population,41569
,,,,,,,,,,,,,,,,,1970 Population1,326428
,,,,,,,,,,,,,,,,,1980 Population,333786
,,,,,,,,,,,,,,,,,1990 Population,374271
,,,,,,,,,,,,,,,,,2000 Population,432543
,,,,,,,,,,,,,,,,,2010 Population,392181
,,,,,,,,,,,,,,,,,2015 Population,383515
,,,,,,,,,,,,,,,,,2020 Population,370391
,,,,,,,,,,,,,,,,,2022 Population,367507
,,,,,,,,,,,,,,,,,1970 Population1,1122198
,,,,,,,,,,,,,,,,,1980 Population,1506694
,,,,,,,,,,,,,,,,,1990 Population,2006027
,,,,,,,,,,,,,,,,,2000 Population,2695003
,,,,,,,,,,,,,,,,,2010 Population,3419461
,,,,,,,,,,,,,,,,,2015 Population,3946220
,,,,,,,,,,,,,,,,,2020 Population,4498604
,,,,,,,,,,,,,,,,,2022 Population,4736139
,,,,,,,,,,,,,,,,,1970 Population1,830115
,,,,,,,,,,,,,,,,,1980 Population,954865
,,,,,,,,,,,,,,,,,1990 Population,1090290
,,,,,,,,,,,,,,,,,2000 Population,1215930
,,,,,,,,,,,,,,,,,2010 Population,1283330
,,,,,,,,,,,,,,,,,2015 Population,1293153
,,,,,,,,,,,,,,,,,2020 Population,1297828
,,,,,,,,,,,,,,,,,2022 Population,1299469
,,,,,,,,,,,,,,,,,1970 Population1,35383
,,,,,,,,,,,,,,,,,1980 Population,52233
,,,,,,,,,,,,,,,,,1990 Population,92659
,,,,,,,,,,,,,,,,,2000 Population,159215
,,,,,,,,,,,,,,,,,2010 Population,211786
,,,,,,,,,,,,,,,,,2015 Population,249545
,,,,,,,,,,,,,,,,,2020 Population,305587
,,,,,,,,,,,,,,,,,2022 Population,326101
,,,,,,,,,,,,,,,,,1970 Population1,50289306
,,,,,,,,,,,,,,,,,1980 Population,67705186
,,,,,,,,,,,,,,,,,1990 Population,81720428
,,,,,,,,,,,,,,,,,2000 Population,97873442
,,,,,,,,,,,,,,,,,2010 Population,112532401
,,,,,,,,,,,,,,,,,2015 Population,120149897
,,,,,,,,,,,,,,,,,2020 Population,125998302
,,,,,,,,,,,,,,,,,2022 Population,127504125
,,,,,,,,,,,,,,,,,1970 Population1,58989
,,,,,,,,,,,,,,,,,1980 Population,76299
,,,,,,,,,,,,,,,,,1990 Population,98603
,,,,,,,,,,,,,,,,,2000 Population,111709
,,,,,,,,,,,,,,,,,2010 Population,107588
,,,,,,,,,,,,,,,,,2015 Population,109462
,,,,,,,,,,,,,,,,,2020 Population,112106
,,,,,,,,,,,,,,,,,2022 Population,114164
,,,,,,,,,,,,,,,,,1970 Population1,3711140
,,,,,,,,,,,,,,,,,1980 Population,4103240
,,,,,,,,,,,,,,,,,1990 Population,4480199
,,,,,,,,,,,,,,,,,2000 Population,4251573
,,,,,,,,,,,,,,,,,2010 Population,3678186
,,,,,,,,,,,,,,,,,2015 Population,3277388
,,,,,,,,,,,,,,,,,2020 Population,3084847
,,,,,,,,,,,,,,,,,2022 Population,3272996
,,,,,,,,,,,,,,,,,1970 Population1,24270
,,,,,,,,,,,,,,,,,1980 Population,27076
,,,,,,,,,,,,,,,,,1990 Population,30329
,,,,,,,,,,,,,,,,,2000 Population,32465
,,,,,,,,,,,,,,,,,2010 Population,33178
,,,,,,,,,,,,,,,,,2015 Population,36760
,,,,,,,,,,,,,,,,,2020 Population,36922
,,,,,,,,,,,,,,,,,2022 Population,36469
,,,,,,,,,,,,,,,,,1970 Population1,1293880
,,,,,,,,,,,,,,,,,1980 Population,1697780
,,,,,,,,,,,,,,,,,1990 Population,2161433
,,,,,,,,,,,,,,,,,2000 Population,2450979
,,,,,,,,,,,,,,,,,2010 Population,2702520
,,,,,,,,,,,,,,,,,2015 Population,2964749
,,,,,,,,,,,,,,,,,2020 Population,3294335
,,,,,,,,,,,,,,,,,2022 Population,3398366
,,,,,,,,,,,,,,,,,1970 Population1,530268
,,,,,,,,,,,,,,,,,1980 Population,589324
,,,,,,,,,,,,,,,,,1990 Population,621442
,,,,,,,,,,,,,,,,,2000 Population,633324
,,,,,,,,,,,,,,,,,2010 Population,631044
,,,,,,,,,,,,,,,,,2015 Population,633966
,,,,,,,,,,,,,,,,,2020 Population,629048
,,,,,,,,,,,,,,,,,2022 Population,627082
,,,,,,,,,,,,,,,,,1970 Population1,11402
,,,,,,,,,,,,,,,,,1980 Population,11452
,,,,,,,,,,,,,,,,,1990 Population,10805
,,,,,,,,,,,,,,,,,2000 Population,5138
,,,,,,,,,,,,,,,,,2010 Population,4938
,,,,,,,,,,,,,,,,,2015 Population,5059
,,,,,,,,,,,,,,,,,2020 Population,4500
,,,,,,,,,,,,,,,,,2022 Population,4390
,,,,,,,,,,,,,,,,,1970 Population1,15274351
,,,,,,,,,,,,,,,,,1980 Population,19678444
,,,,,,,,,,,,,,,,,1990 Population,24570814
,,,,,,,,,,,,,,,,,2000 Population,28554415
,,,,,,,,,,,,,,,,,2010 Population,32464865
,,,,,,,,,,,,,,,,,2015 Population,34680458
,,,,,,,,,,,,,,,,,2020 Population,36688772
,,,,,,,,,,,,,,,,,2022 Population,37457971
,,,,,,,,,,,,,,,,,1970 Population1,8411676
,,,,,,,,,,,,,,,,,1980 Population,11413587
,,,,,,,,,,,,,,,,,1990 Population,13303459
,,,,,,,,,,,,,,,,,2000 Population,17768505
,,,,,,,,,,,,,,,,,2010 Population,23073723
,,,,,,,,,,,,,,,,,2015 Population,26843246
,,,,,,,,,,,,,,,,,2020 Population,31178239
,,,,,,,,,,,,,,,,,2022 Population,32969517
,,,,,,,,,,,,,,,,,1970 Population1,27284112
,,,,,,,,,,,,,,,,,1980 Population,33465781
,,,,,,,,,,,,,,,,,1990 Population,40099553
,,,,,,,,,,,,,,,,,2000 Population,45538332
,,,,,,,,,,,,,,,,,2010 Population,49390988
,,,,,,,,,,,,,,,,,2015 Population,51483949
,,,,,,,,,,,,,,,,,2020 Population,53423198
,,,,,,,,,,,,,,,,,2022 Population,54179306
,,,,,,,,,,,,,,,,,1970 Population1,754467
,,,,,,,,,,,,,,,,,1980 Population,975994
,,,,,,,,,,,,,,,,,1990 Population,1369011
,,,,,,,,,,,,,,,,,2000 Population,1819141
,,,,,,,,,,,,,,,,,2010 Population,2099271
,,,,,,,,,,,,,,,,,2015 Population,2282704
,,,,,,,,,,,,,,,,,2020 Population,2489098
,,,,,,,,,,,,,,,,,2022 Population,2567012
,,,,,,,,,,,,,,,,,1970 Population1,6663
,,,,,,,,,,,,,,,,,1980 Population,7635
,,,,,,,,,,,,,,,,,1990 Population,9598
,,,,,,,,,,,,,,,,,2000 Population,10377
,,,,,,,,,,,,,,,,,2010 Population,10241
,,,,,,,,,,,,,,,,,2015 Population,11185
,,,,,,,,,,,,,,,,,2020 Population,12315
,,,,,,,,,,,,,,,,,2022 Population,12668
,,,,,,,,,,,,,,,,,1970 Population1,12501285
,,,,,,,,,,,,,,,,,1980 Population,15600442
,,,,,,,,,,,,,,,,,1990 Population,19616530
,,,,,,,,,,,,,,,,,2000 Population,24559500
,,,,,,,,,,,,,,,,,2010 Population,27161567
,,,,,,,,,,,,,,,,,2015 Population,27610325
,,,,,,,,,,,,,,,,,2020 Population,29348627
,,,,,,,,,,,,,,,,,2022 Population,30547580
,,,,,,,,,,,,,,,,,1970 Population1,13037686
,,,,,,,,,,,,,,,,,1980 Population,14130387
,,,,,,,,,,,,,,,,,1990 Population,14944548
,,,,,,,,,,,,,,,,,2000 Population,15899135
,,,,,,,,,,,,,,,,,2010 Population,16617116
,,,,,,,,,,,,,,,,,2015 Population,17041107
,,,,,,,,,,,,,,,,,2020 Population,17434557
,,,,,,,,,,,,,,,,,2022 Population,17564014
,,,,,,,,,,,,,,,,,1970 Population1,110982
,,,,,,,,,,,,,,,,,1980 Population,148599
,,,,,,,,,,,,,,,,,1990 Population,177264
,,,,,,,,,,,,,,,,,2000 Population,221537
,,,,,,,,,,,,,,,,,2010 Population,261426
,,,,,,,,,,,,,,,,,2015 Population,283032
,,,,,,,,,,,,,,,,,2020 Population,286403
,,,,,,,,,,,,,,,,,2022 Population,289950
,,,,,,,,,,,,,,,,,1970 Population1,2824061
,,,,,,,,,,,,,,,,,1980 Population,3147168
,,,,,,,,,,,,,,,,,1990 Population,3397389
